pevnost	dodavatel
18.9	a
19.1	a
20.5	a
19.4	a
19.4	a
20.7	a
19.7	a
18.3	a
18.8	a
18.9	a
20.3	a
19.6	a
19.6	a
19.4	a
18.9	a
20.7	a
19.7	a
17.7	a
18.8	a
17.4	a
16.7	a
17.7	a
16.8	a
17.1	a
17.2	a
17.7	b
20.5	b
19.8	b
18.3	b
21	b
20.1	b
19.3	b
20.6	b
20.6	b
20.5	b
20.4	b
20.2	b
19.5	b
19.3	b
19.2	b
18.8	b
19.4	b
18.2	b
22	b
20.9	b
18.4	b
19.2	b
19.1	b
20.5	b
19.5	b
22	c
21.8	c
21.8	c
22.6	c
21.7	c
22.7	c
20.9	c
22.2	c
21.9	c
21.9	c
22	c
21.5	c
21.6	c
21.2	c
21.2	c
22	c
22.1	c
21.8	c
22.4	c
23	c
21.5	c
20.4	c
22.4	c
21.4	c
21.4	c
