Dodavetel_X,Dodavatel_Y,
0.41379418,6.65956934,
0.51040227,2.78876119,
3.28722973,0.33397602,
7.31995568,-0.03763918,
4.53994434,0.74993937,
-1.07426821,3.81490677,
4.74575978,1.70428804,
2.55201407,-3.31291341,
3.22058685,-0.2297237,
-1.17401554,4.02124752,
-1.241195,5.93229834,
4.1829469,3.3050607,
0.65486399,-3.61277063,
-0.18908709,0.78809415,
-0.73101186,0.37976841,
1.27876451,1.5235732,
1.26734875,1.76230055,
2.78570344,1.03078642,
2.96834139,-2.74093726,
1.22145702,2.77205578,
1.8085144,-0.25596771,
-0.80356569,-0.79295335,
2.57347292,-1.99567925,
3.42552806,7.1418349,
1.66904559,6.56129569,
-2.21179295,-2.39785588,
4.1769627,-2.30807391,
2.15191523,-1.02088455,
3.62707736,-2.26040839,
0.06900211,-2.76088135,
0.51371315,1.81877126,
0.54983237,0.14669279,
4.09554316,4.21783231,
1.28465289,-2.1318432,
4.05350899,3.69196005,
5.10504379,-2.69614367,
4.25580572,-2.6801482,
0.79826235,3.72209577,
-1.02042629,1.73709472,
1.87299786,-0.70580812,
0.14051938,0.07337669,
3.05622839,2.1706323,
4.74780021,2.72495294,
4.5479414,5.04390706,
-6.54132331,1.32219033,
1.94429658,4.72349163,
1.95488616,-0.67638087,
4.73267571,2.64424944,
4.83082378,2.78769261,
2.9583072,-2.10997705,
2.99769818,4.26042721,
-1.07337799,-3.50266144,
0.58403864,1.7256428,
2.73050678,-2.07028305,
0.2802123,-4.5977926,
10.49771713,-1.71953774,
2.36870296,2.90307934,
0.60689702,1.38358058,
8.42679434,3.42339203,
1.29763889,-1.6800043,
1.31289734,7.55683608,
1.93230073,6.3257431,
5.92597773,-2.60318964,
1.49746935,3.24511198,
6.30721756,0.97390332,
3.15585521,2.22611398,
5.38824907,0.83831831,
3.27322441,0.07828888,
3.41248356,2.29402602,
-0.40437473,2.68356827,
3.19350142,0.07483911,
-4.06261001,3.38214384,
-1.05763312,-0.59180508,
-0.39748962,9.07209729,
0.86637433,-1.27708114,
2.02108109,4.77997853,
-1.06445976,-0.83918672,
1.10375263,6.26383807,
4.51823259,1.50674691,
-0.75725877,3.25716693,
-0.87173075,5.70351834,
-2.19932463,5.80174051,
7.70167909,3.61099316,
1.48655986,2.19293272,
4.9075773,-1.46102337,
5.51652338,-0.97135778,
-0.34615559,1.54849399,
0.01031344,4.34257358,
4.57582354,-1.64886246,
1.17516968,2.44942102,
-0.21932558,2.68469434,
-1.27848277,1.64707956,
2.97655676,5.49827517,
1.44863955,1.01640668,
3.67881403,4.43099277,
0.30868429,2.23430799,
-2.52052309,-1.74337571,
0.05248743,6.43458332,
0.07728483,2.94137432,
-1.12975005,-1.01569579,
3.99585182,,
0.7904526,,
3.73159608,,
7.36490361,,
6.40646375,,
-1.54228149,,
-0.65100869,,
4.04305846,,
2.47766853,,
-3.48957597,,
6.20840771,,
0.40560482,,
0.49118447,,
-1.48277951,,
-1.2367503,,
5.16138353,,
1.15383008,,
2.75286404,,
4.70183189,,
-2.29877355,
